size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
10,0.5,2.0,0.5,10,100, 6, 209.85,185.60,88.44,0.00,True,WIN,0.75
10,0.5,2.0,1.0,10,100, 6, 4193.20,4190.84,99.94,0.00,True,WIN,0.10999999999999999
10,0.5,2.0,2.0,10,100, 6, 2204430.12,7244.71,0.33,0.00,True,WIN,0.1
10,0.5,2.0,4.0,10,100, 6, 844660107788.72,6022.18,0.00,0.00,True,WIN,0.1
10,0.5,2.0,5.0,10,100, 6, 553875009898938.12,5619.37,0.00,0.00,True,WIN,0.1
10,0.5,4.0,0.1,10,100, 6, 28.98,22.38,77.24,0.00,True,WIN,0.9
10,0.5,4.0,0.5,10,100, 6, 293.39,260.29,88.72,0.00,True,WIN,0.75
10,0.5,4.0,1.0,10,100, 6, 8378.24,8375.88,99.97,0.00,True,WIN,0.1
10,0.5,4.0,2.0,10,100, 6, 8817696.03,14500.49,0.16,0.00,True,WIN,0.1
10,0.5,4.0,4.0,10,100, 6, 13514561724497.15,12475.40,0.00,0.00,True,WIN,0.1
10,0.5,4.0,5.0,10,100, 6, 17724000316765768.00,11709.98,0.00,0.00,True,WIN,0.1
10,0.5,5.0,0.1,10,100, 6, 29.45,22.93,77.86,0.00,True,WIN,0.9
10,0.5,5.0,0.5,10,100, 6, 327.06,290.39,88.79,0.00,True,WIN,0.75
10,0.5,5.0,1.0,10,100, 6, 10470.76,10468.41,99.98,0.00,True,WIN,0.1
10,0.5,5.0,2.0,10,100, 6, 13777645.46,18389.69,0.13,0.00,True,WIN,0.1
10,0.5,5.0,4.0,10,100, 6, 32994535460186.35,18314.99,0.00,0.00,True,WIN,0.1
10,0.5,5.0,5.0,10,100, 6, 54089356435442360.00,18495.72,0.00,0.00,True,WIN,0.1
10,1.0,0.0,0.1,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.9
10,1.0,0.0,0.5,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.75
10,1.0,0.0,1.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.51
10,1.0,0.0,2.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.1
10,1.0,0.0,4.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.1
10,1.0,0.0,5.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.1
10,1.0,0.1,0.1,10,100, 6, 19.15,15.04,78.52,0.00,True,WIN,0.9
10,1.0,0.1,0.5,10,100, 6, 45.41,40.52,89.23,0.00,True,WIN,0.75
10,1.0,0.1,1.0,10,100, 6, 193.78,192.80,99.49,0.00,True,WIN,0.49
10,1.0,0.1,2.0,10,100, 6, 5457.05,327.62,6.00,0.00,True,WIN,0.1
10,1.0,0.1,4.0,10,100, 6, 5916056.02,272.73,0.00,0.00,True,WIN,0.1
10,1.0,0.1,5.0,10,100, 6, 202461219.38,253.54,0.00,0.00,True,WIN,0.1
10,1.0,1.0,0.1,10,100, 6, 22.21,18.09,81.45,0.00,True,WIN,0.9
10,1.0,1.0,0.5,10,100, 6, 127.74,118.64,92.87,0.00,True,WIN,0.75
10,1.0,1.0,1.0,10,100, 6, 1871.77,1871.15,99.97,0.00,True,WIN,0.31
10,1.0,1.0,2.0,10,100, 6, 544978.88,3280.02,0.60,0.00,True,WIN,0.1
10,1.0,1.0,4.0,10,100, 6, 59160486867.93,2731.88,0.00,0.00,True,WIN,0.1
10,1.0,1.0,5.0,10,100, 6, 20246121204555.93,2533.39,0.00,0.00,True,WIN,0.1
10,1.0,2.0,0.1,10,100, 6, 23.28,19.20,82.45,0.00,True,WIN,0.9
10,1.0,2.0,0.5,10,100, 6, 177.61,166.08,93.51,0.00,True,WIN,0.75
10,1.0,2.0,1.0,10,100, 6, 3736.21,3735.59,99.98,0.00,True,WIN,0.10999999999999999
10,1.0,2.0,2.0,10,100, 6, 2179893.51,6559.98,0.30,0.00,True,WIN,0.1
10,1.0,2.0,4.0,10,100, 6, 946567789776.91,5463.30,0.00,0.00,True,WIN,0.1
10,1.0,2.0,5.0,10,100, 6, 647875878545562.12,5071.57,0.00,0.00,True,WIN,0.1
10,1.0,4.0,0.1,10,100, 6, 24.43,20.36,83.35,0.00,True,WIN,0.9
10,1.0,4.0,0.5,10,100, 6, 248.15,233.18,93.97,0.00,True,WIN,0.75
10,1.0,4.0,1.0,10,100, 6, 7465.09,7464.47,99.99,0.00,True,WIN,0.1
10,1.0,4.0,2.0,10,100, 6, 8719552.03,13158.08,0.15,0.00,True,WIN,0.1
10,1.0,4.0,4.0,10,100, 6, 15145084636320.54,11259.21,0.00,0.00,True,WIN,0.1
10,1.0,4.0,5.0,10,100, 6, 20732028113457760.00,10567.05,0.00,0.00,True,WIN,0.1
10,1.0,5.0,0.1,10,100, 6, 24.81,20.74,83.58,0.00,True,WIN,0.9
10,1.0,5.0,0.5,10,100, 6, 276.57,260.22,94.09,0.00,True,WIN,0.75
10,1.0,5.0,1.0,10,100, 6, 9329.53,9328.90,99.99,0.00,True,WIN,0.1
10,1.0,5.0,2.0,10,100, 6, 13624295.92,16724.13,0.12,0.00,True,WIN,0.1
10,1.0,5.0,4.0,10,100, 6, 36975304287881.37,16263.79,0.00,0.00,True,WIN,0.1
10,1.0,5.0,5.0,10,100, 6, 63269128764214336.00,16324.71,0.00,0.00,True,WIN,0.1
50,0.1,0.0,0.1,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.9
50,0.1,0.0,0.5,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.75
50,0.1,0.0,1.0,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.51
50,0.1,0.0,2.0,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.1
50,0.1,0.0,4.0,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.1
50,0.1,0.0,5.0,10,100, 6, 93.11,19.97,21.45,0.00,True,WIN,0.1
50,0.1,0.1,0.1,10,100, 6, 266.51,108.00,40.52,0.05,True,WIN,0.9
50,0.1,0.1,0.5,10,100, 6, 600.84,416.79,69.37,0.01,True,WIN,0.75
50,0.1,0.1,1.0,10,100, 6, 2280.92,2253.10,98.78,0.01,True,WIN,0.49
50,0.1,0.1,2.0,10,100, 6, 52132.42,3755.18,7.20,0.00,True,WIN,0.1
50,0.1,0.1,4.0,10,100, 6, 54957611.20,3178.19,0.01,0.00,True,WIN,0.1
50,0.1,0.1,5.0,10,100, 6, 2205641360.87,3002.20,0.00,0.00,True,WIN,0.1
50,0.1,1.0,0.1,10,100, 6, 311.41,137.62,44.19,0.02,True,WIN,0.9
50,0.1,1.0,0.5,10,100, 6, 1698.71,1195.10,70.35,0.01,True,WIN,0.75
50,0.1,1.0,1.0,10,100, 6, 21971.20,21946.15,99.89,0.01,True,WIN,0.31
50,0.1,1.0,2.0,10,100, 6, 5204023.63,37555.17,0.72,0.00,True,WIN,0.1
50,0.1,1.0,4.0,10,100, 6, 549575181016.58,31740.01,0.00,0.00,True,WIN,0.1
50,0.1,1.0,5.0,10,100, 6, 220564126776120.94,29974.14,0.00,0.00,True,WIN,0.1
50,0.1,2.0,0.1,10,100, 6, 327.08,138.50,42.35,0.06,True,WIN,0.9
50,0.1,2.0,0.5,10,100, 6, 2363.76,1708.30,72.27,0.01,True,WIN,0.75
50,0.1,2.0,1.0,10,100, 6, 43849.28,43823.73,99.94,0.01,True,WIN,0.10999999999999999
50,0.1,2.0,2.0,10,100, 6, 20815815.20,75106.30,0.36,0.00,True,WIN,0.1
50,0.1,2.0,4.0,10,100, 6, 8793202894868.56,63228.35,0.00,0.00,True,WIN,0.1
50,0.1,2.0,5.0,10,100, 6, 7058052056832986.00,59796.57,0.00,0.00,True,WIN,0.1
50,0.1,4.0,0.1,10,100, 6, 343.88,143.30,41.67,0.06,True,WIN,0.9
50,0.1,4.0,0.5,10,100, 6, 3304.30,2387.81,72.26,0.02,True,WIN,0.75
50,0.1,4.0,1.0,10,100, 6, 87605.45,87579.48,99.97,0.02,True,WIN,0.1
50,0.1,4.0,2.0,10,100, 6, 83262981.48,150657.15,0.18,0.00,True,WIN,0.1
50,0.1,4.0,4.0,10,100, 6, 140691246316500.20,129972.49,0.00,0.00,True,WIN,0.1
50,0.1,4.0,5.0,10,100, 6, 225857665818652640.00,125641.24,0.00,0.00,True,WIN,0.1
50,0.1,5.0,0.1,10,100, 6, 349.53,145.86,41.73,0.05,True,WIN,0.9
50,0.1,5.0,0.5,10,100, 6, 3683.33,2705.25,73.45,0.02,True,WIN,0.75
50,0.1,5.0,1.0,10,100, 6, 109483.53,109457.54,99.98,0.02,True,WIN,0.1
50,0.1,5.0,2.0,10,100, 6, 130098356.19,189988.14,0.15,0.01,True,WIN,0.1
50,0.1,5.0,4.0,10,100, 6, 343484488077259.00,181556.57,0.00,0.01,True,WIN,0.1
50,0.1,5.0,5.0,10,100, 6, 689262896175087232.00,189419.06,0.00,0.01,True,WIN,0.1
50,0.2,0.0,0.1,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.9
50,0.2,0.0,0.5,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.75
50,0.2,0.0,1.0,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.51
50,0.2,0.0,2.0,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.1
50,0.2,0.0,4.0,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.1
50,0.2,0.0,5.0,10,100, 6, 53.72,16.82,31.31,0.00,True,WIN,0.1
50,0.2,0.1,0.1,10,100, 6, 185.77,99.19,53.39,0.01,True,WIN,0.9
50,0.2,0.1,0.5,10,100, 6, 391.48,296.57,75.75,0.01,True,WIN,0.75
50,0.2,0.1,1.0,10,100, 6, 1338.08,1325.89,99.09,0.01,True,WIN,0.49
50,0.2,0.1,2.0,10,100, 6, 26290.50,1915.54,7.29,0.00,True,WIN,0.1
50,0.2,0.1,4.0,10,100, 6, 23221369.30,1517.27,0.01,0.00,True,WIN,0.1
50,0.2,0.1,5.0,10,100, 6, 844266213.26,1418.01,0.00,0.00,True,WIN,0.1
50,0.2,1.0,0.1,10,100, 6, 219.96,118.02,53.66,0.02,True,WIN,0.9
50,0.2,1.0,0.5,10,100, 6, 1121.83,887.58,79.12,0.01,True,WIN,0.75
50,0.2,1.0,1.0,10,100, 6, 12897.33,12887.01,99.92,0.01,True,WIN,0.31
50,0.2,1.0,2.0,10,100, 6, 2623731.82,19157.70,0.73,0.00,True,WIN,0.1
50,0.2,1.0,4.0,10,100, 6, 232213155897.16,15185.78,0.00,0.00,True,WIN,0.1
50,0.2,1.0,5.0,10,100, 6, 84426615954550.16,14164.04,0.00,0.00,True,WIN,0.1
50,0.2,2.0,0.1,10,100, 6, 231.90,124.15,53.54,0.02,True,WIN,0.9
50,0.2,2.0,0.5,10,100, 6, 1564.26,1233.59,78.86,0.01,True,WIN,0.75
50,0.2,2.0,1.0,10,100, 6, 25740.94,25730.95,99.96,0.01,True,WIN,0.10999999999999999
50,0.2,2.0,2.0,10,100, 6, 10494766.15,38316.79,0.37,0.00,True,WIN,0.1
50,0.2,2.0,4.0,10,100, 6, 3715410493548.80,30296.96,0.00,0.00,True,WIN,0.1
50,0.2,2.0,5.0,10,100, 6, 2701651710543940.50,28250.40,0.00,0.00,True,WIN,0.1
50,0.2,4.0,0.1,10,100, 6, 244.68,132.82,54.28,0.03,True,WIN,0.9
50,0.2,4.0,0.5,10,100, 6, 2189.95,1737.25,79.33,0.01,True,WIN,0.75
50,0.2,4.0,1.0,10,100, 6, 51428.16,51416.53,99.98,0.01,True,WIN,0.1
50,0.2,4.0,2.0,10,100, 6, 41978903.44,76724.33,0.18,0.00,True,WIN,0.1
50,0.2,4.0,4.0,10,100, 6, 59446567895975.03,61251.88,0.00,0.00,True,WIN,0.1
50,0.2,4.0,5.0,10,100, 6, 86452854737404400.00,57283.90,0.00,0.00,True,WIN,0.1
50,0.2,5.0,0.1,10,100, 6, 248.99,135.02,54.23,0.02,True,WIN,0.9
50,0.2,5.0,0.5,10,100, 6, 2442.10,1936.26,79.29,0.01,True,WIN,0.75
50,0.2,5.0,1.0,10,100, 6, 64271.77,64261.04,99.98,0.01,True,WIN,0.1
50,0.2,5.0,2.0,10,100, 6, 65592006.41,96502.24,0.15,0.00,True,WIN,0.1
50,0.2,5.0,4.0,10,100, 6, 145133222402205.34,80331.93,0.00,0.00,True,WIN,0.1
50,0.2,5.0,5.0,10,100, 6, 263833174857801440.00,77257.91,0.00,0.00,True,WIN,0.1
50,0.5,0.0,0.1,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.9
50,0.5,0.0,0.5,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.75
50,0.5,0.0,1.0,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.51
50,0.5,0.0,2.0,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.1
50,0.5,0.0,4.0,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.1
50,0.5,0.0,5.0,10,100, 6, 38.35,8.56,22.31,0.00,True,WIN,0.1
50,0.5,0.1,0.1,10,100, 6, 136.21,85.25,62.59,0.01,True,WIN,0.9
50,0.5,0.1,0.5,10,100, 6, 284.64,229.39,80.59,0.01,True,WIN,0.75
50,0.5,0.1,1.0,10,100, 6, 975.37,965.92,99.03,0.01,True,WIN,0.49
50,0.5,0.1,2.0,10,100, 6, 18799.41,1255.93,6.68,0.00,True,WIN,0.1
50,0.5,0.1,4.0,10,100, 6, 13456021.97,886.85,0.01,0.00,True,WIN,0.1
50,0.5,0.1,5.0,10,100, 6, 416802734.68,810.56,0.00,0.00,True,WIN,0.1
50,0.5,1.0,0.1,10,100, 6, 161.55,104.22,64.51,0.01,True,WIN,0.9
50,0.5,1.0,0.5,10,100, 6, 817.17,673.35,82.40,0.01,True,WIN,0.75
50,0.5,1.0,1.0,10,100, 6, 9408.58,9398.86,99.90,0.01,True,WIN,0.31
50,0.5,1.0,2.0,10,100, 6, 1876144.04,12536.09,0.67,0.00,True,WIN,0.1
50,0.5,1.0,4.0,10,100, 6, 134559836260.82,8804.28,0.00,0.00,True,WIN,0.1
50,0.5,1.0,5.0,10,100, 6, 41680269632719.91,8057.50,0.00,0.00,True,WIN,0.1
50,0.5,2.0,0.1,10,100, 6, 170.39,109.97,64.54,0.01,True,WIN,0.9
50,0.5,2.0,0.5,10,100, 6, 1139.77,953.12,83.62,0.01,True,WIN,0.75
50,0.5,2.0,1.0,10,100, 6, 18778.81,18770.79,99.96,0.01,True,WIN,0.10999999999999999
50,0.5,2.0,2.0,10,100, 6, 7504461.10,25067.34,0.33,0.00,True,WIN,0.1
50,0.5,2.0,4.0,10,100, 6, 2152957379597.83,17620.27,0.00,0.00,True,WIN,0.1
50,0.5,2.0,5.0,10,100, 6, 1333768628245848.25,16120.57,0.00,0.00,True,WIN,0.1
50,0.5,4.0,0.1,10,100, 6, 179.87,119.92,66.67,0.01,True,WIN,0.9
50,0.5,4.0,0.5,10,100, 6, 1596.00,1335.67,83.69,0.01,True,WIN,0.75
50,0.5,4.0,1.0,10,100, 6, 37519.26,37510.70,99.98,0.01,True,WIN,0.1
50,0.5,4.0,2.0,10,100, 6, 30017729.34,49817.07,0.17,0.00,True,WIN,0.1
50,0.5,4.0,4.0,10,100, 6, 34447318072989.96,34909.93,0.00,0.00,True,WIN,0.1
50,0.5,4.0,5.0,10,100, 6, 42680596103865960.00,31917.75,0.00,0.00,True,WIN,0.1
50,0.5,5.0,0.1,10,100, 6, 183.06,116.74,63.77,0.01,True,WIN,0.9
50,0.5,5.0,0.5,10,100, 6, 1779.85,1480.17,83.16,0.01,True,WIN,0.75
50,0.5,5.0,1.0,10,100, 6, 46889.49,46881.53,99.98,0.01,True,WIN,0.1
50,0.5,5.0,2.0,10,100, 6, 46902680.52,62158.79,0.13,0.00,True,WIN,0.1
50,0.5,5.0,4.0,10,100, 6, 84099897639080.39,43615.28,0.00,0.00,True,WIN,0.1
50,0.5,5.0,5.0,10,100, 6, 130250842602129920.00,39713.09,0.00,0.00,True,WIN,0.1
50,1.0,0.0,0.1,10,100, 6, 35.71,5.73,16.04,0.00,True,WIN,0.9
50,1.0,0.0,0.5,10,100, 6, 35.71,5.73,16.04,0.00,True,WIN,0.75
50,1.0,0.0,1.0,10,100, 6, 35.71,5.73,16.04,0.00,True,WIN,0.51
50,1.0,0.0,2.0,10,100, 6, 35.71,5.73,16.04,0.00,True,WIN,0.1
50,1.0,0.0,4.0,10,100, 6, 35.71,5.73,16.04,0.04,True,WIN,0.1
50,1.0,0.0,5.0,10,100, 6, 35.71,5.73,16.04,0.00,True,WIN,0.1
50,1.0,0.1,0.1,10,100, 6, 99.30,75.92,76.46,0.01,True,WIN,0.9
50,1.0,0.1,0.5,10,100, 6, 228.84,192.00,83.90,0.01,True,WIN,0.75
50,1.0,0.1,1.0,10,100, 6, 898.43,891.14,99.19,0.01,True,WIN,0.49
50,1.0,0.1,2.0,10,100, 6, 21253.21,1039.66,4.89,0.00,True,WIN,0.1
50,1.0,0.1,4.0,10,100, 6, 20740035.26,708.71,0.00,0.00,True,WIN,0.1
50,1.0,0.1,5.0,10,100, 6, 755234446.09,649.93,0.00,0.00,True,WIN,0.1
50,1.0,1.0,0.1,10,100, 6, 115.76,93.34,80.63,0.01,True,WIN,0.9
50,1.0,1.0,0.5,10,100, 6, 646.43,569.20,88.05,0.01,True,WIN,0.75
50,1.0,1.0,1.0,10,100, 6, 8662.89,8660.20,99.97,0.01,True,WIN,0.31
50,1.0,1.0,2.0,10,100, 6, 2121786.14,10370.02,0.49,0.00,True,WIN,0.1
50,1.0,1.0,4.0,10,100, 6, 207399995524.65,7091.17,0.00,0.00,True,WIN,0.1
50,1.0,1.0,5.0,10,100, 6, 75523441038206.02,6503.25,0.00,0.00,True,WIN,0.1
50,1.0,2.0,0.1,10,100, 6, 121.50,100.41,82.64,0.01,True,WIN,0.9
50,1.0,2.0,0.5,10,100, 6, 899.40,797.77,88.70,0.01,True,WIN,0.75
50,1.0,2.0,1.0,10,100, 6, 17290.08,17287.91,99.99,0.01,True,WIN,0.10999999999999999
50,1.0,2.0,2.0,10,100, 6, 8487037.45,20736.46,0.24,0.00,True,WIN,0.1
50,1.0,2.0,4.0,10,100, 6, 3318399927858.80,14138.79,0.00,0.00,True,WIN,0.1
